age,sex,region,income,married,children,car,save_act,current_act,mortgage
0.44776119402985076,0.0,0.0,0.19850736811758576,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
0.3283582089552239,1.0,1.0,0.3971305288602426,1.0,1.0,1.0,0.0,1.0,1.0
0.4925373134328358,0.0,0.0,0.183132768679283,1.0,0.0,1.0,1.0,1.0,0.0
0.07462686567164178,0.0,1.0,0.24332592535098158,1.0,1.0,0.0,0.0,1.0,0.0
0.582089552238806,0.0,0.3333333333333333,0.7217173741210612,1.0,0.0,0.0,1.0,0.0,0.0
0.582089552238806,0.0,1.0,0.5204393783630946,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
0.05970149253731343,1.0,0.3333333333333333,0.06118887820548359,0.0,0.0,0.0,0.0,1.0,0.0
0.5970149253731343,1.0,1.0,0.3157351247661575,1.0,0.0,1.0,1.0,1.0,0.0
0.2835820895522388,0.0,0.6666666666666666,0.32140120164549085,1.0,0.6666666666666666,1.0,0.0,0.0,0.0
0.5373134328358209,1.0,1.0,0.3041004211936937,1.0,0.6666666666666666,1.0,1.0,1.0,0.0
0.7164179104477612,0.0,1.0,0.8678853668852101,1.0,0.0,0.0,1.0,1.0,0.0
0.5074626865671642,0.0,0.0,0.34285689393807395,0.0,0.0,1.0,1.0,1.0,1.0
0.3880597014925373,0.0,1.0,0.169833249115715,1.0,0.3333333333333333,0.0,1.0,1.0,1.0
0.7164179104477612,0.0,1.0,0.79503263894719,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
0.26865671641791045,1.0,0.3333333333333333,0.22905697915891152,1.0,0.0,0.0,1.0,1.0,1.0
0.29850746268656714,0.0,0.0,0.27447905198946304,1.0,0.0,1.0,1.0,1.0,1.0
0.2835820895522388,0.0,1.0,0.2014188160639695,1.0,0.6666666666666666,0.0,0.0,0.0,1.0
0.417910447761194,0.0,0.6666666666666666,0.5702793120872611,1.0,0.0,0.0,1.0,0.0,1.0
0.6567164179104478,0.0,0.0,0.34682330615665113,1.0,0.0,0.0,1.0,0.0,0.0
0.19402985074626866,1.0,1.0,0.2773413949922462,1.0,0.0,1.0,1.0,1.0,0.0
0.6417910447761194,1.0,0.0,0.8374212934875757,1.0,0.6666666666666666,0.0,1.0,0.0,0.0
0.47761194029850745,1.0,1.0,0.18189564090663568,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
0.5373134328358209,1.0,0.0,0.5295792339945604,1.0,0.0,0.0,1.0,1.0,0.0
0.13432835820895522,0.0,1.0,0.16671270915141906,0.0,0.0,1.0,1.0,1.0,1.0
0.05970149253731343,1.0,0.0,0.12079958688486157,0.0,0.6666666666666666,1.0,1.0,1.0,0.0
0.5671641791044776,1.0,0.0,0.5705644375662323,1.0,0.0,1.0,1.0,1.0,1.0
0.40298507462686567,1.0,0.0,0.25020536954638123,1.0,0.0,0.0,1.0,1.0,1.0
0.31343283582089554,0.0,1.0,0.2391852697841442,1.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.31343283582089554,0.0,0.0,0.38563046787507066,0.0,1.0,1.0,0.0,1.0,1.0
0.6417910447761194,1.0,0.3333333333333333,0.30501915884815645,1.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.6417910447761194,0.0,0.3333333333333333,0.28399590686534637,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
0.029850746268656716,0.0,1.0,0.1791790287042156,1.0,0.6666666666666666,0.0,1.0,0.0,0.0
0.40298507462686567,1.0,0.6666666666666666,0.2919208111503071,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
0.22388059701492538,0.0,0.0,0.39453588700160463,0.0,1.0,1.0,1.0,0.0,0.0
0.373134328358209,1.0,0.6666666666666666,0.5149317045276343,0.0,0.0,0.0,1.0,1.0,0.0
0.13432835820895522,0.0,0.0,0.23528855490487108,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
